AAA	Anaa, French Polynesia
LPM	Lamap, Vanuatu
LPO	La Porte, IN [La Porte Municipal Airport], USA
LPP	Lappeenranta, Finland
LPQ	Luang Prabang, Laos
LPS	Lopez, WA [Lopez Island Airport], USA
LPT	Lampang, Thailand
LPU	Long Apung, Indonesia
LPW	Little Port Walker, AK, USA
LPX	Liepaja, Latvia
LPY	Le Puy, France
LQK	Pickens, SC [Pickens County Airport], USA
LQM	Puerto Leguizam, Colombia
LQN	Qala-Nau, Afghanistan
LQR	Larned, KS [Larned-Pawnee County Airport], USA
LRA	Larisa, Greece
LRB	Leribe, Lesotho
LRC	Laarbruch, Germany
LRD	Laredo, TX [Laredo International Airport], USA
LRE	Longreach, Queensland, Australia
LRF	Jacksonville, AR [Little Rock Air Force Base], USA
LRG	Lora Lai, Pakistan
LRH	La Rochelle [Laieu], France
LRI	Lorica, Colombia
LRJ	Le Mars, IA [Le Mars Municipal Airport], USA
LRK	Lincoln River, AK, USA
LRL	Niamtougou/Lama Kara, Togo
LRM	La Romana, Dominican Republic
LRN	Moses Lake, WA [Larson Air Force Base], USA
LRO	Sharpe Army Depot (Lathrop), CA [Sharpe Army Air Field], USA
LRQ	Laurie River, MB [Laurie River Aerodrome], Canada
LRS	Leros, Greece
LRT	Lorient [Lann-Bihouet], France
LRU	Las Cruces, NM [Las Cruces International Airport], USA
LRV	Los Roques, Venezuela
LSA	Losuia, Papua New Guinea
LSB	Lordsburg, NM [Lordsburg Municipal Airport], USA
LSC	La Serena, Chile
LSD	Lexington Blue Grass Depot, KY [Creech Army Air Field], USA
LSE	La Crosse, WI/Winona, MN [La Crosse Municipal Airport], USA
LSF	Fort Benning (Columbus), GA [Lawson Army Air Field], USA
LSH	Lashio, Myanmar
LSI	Lerwick, Shetland Islands [Sumburgh], United Kingdom
LSK	Lusk, WY [Lusk Municipal Airport], USA
LSL	Los Chiles, Costa Rica
LSM	Long Semado, Sarawak, Malaysia
LSN	Los Banos, CA [Los Banos Municipal Airport], USA
LSO	Les Sables, France
LSP	Las Piedras, Venezuela
LSQ	Los Angeles, Chile
LSR	Lost River, AK [Lost River 1 Airport], USA
LSS	Les Saintes/Terre de Haut, Guadeloupe
LST	Launceston, Tasmania, Australia
LSU	Long Sukang, Malaysia
LSV	Las Vegas, NV [Nellis Air Force Base], USA
LSW	Lhokseumawe, Indonesia
LSX	Lhok Sukon, Indonesia
LSY	Lismore, Queensland, Australia
LSZ	Losinj, Croatia
LTA	Tzaneen, South Africa
LTB	Latrobe, Australia
LTC	Lai, Chad
LTD	Ghadames, Libya
LTF	Leitre, Papua New Guinea
LTG	Langtang, Nepal
LTH	Lathrop Wells, NV, USA
LTK	Latakia, Syria
LTL	Lastourville, Gabon
LTM	Lethem, Guyana
LTN	London, England [Luton Airport], United Kingdom
LTO	Loreto, Mexico
LTP	Lyndhurst, Queensland, Australia
LTQ	Le Touquet [Paris-Plage], France
LTS	Altus, OK [Altus Air Force Base], USA
LTU	La Touche, AK, USA
LTV	Lotusvale, Queensland, Australia
LTW	Leonardtown, MD [St. Mary's County Airport], USA
LUA	Lukla, Nepal
LUB	Lumid Pau, Guyana
LUC	Laucala Island, Fiji
LUD	Luederitz (Luderitz), Namibia
LUE	Lucenec, Slovakia
LUF	Glendale/Phoenix, AZ [Luke Air Force Base], USA
LUG	Lugano [Agno], Switzerland
LUH	Ludhiana, India
LUI	La Union, Honduras
LUJ	Lusikisiki, South Africa
LUK	Cincinnati, OH [Cincinnati Municipal Airport/Lunken Field], USA
LUL	Laurel, MS [Hesler-Noble Field], USA
LUM	Luxi, China
LUN	Lusaka [Lusaka International Airport], Zambia
LUO	Luena (Luso), Angola
LUP	Kalaupapa, HI [Kalaupapa Airport], USA
LUQ	San Luis, Argentina
LUR	Cape Lisburne, AK [Cape Lisburne LRRS], USA
LUS	Lusanga, Zaire
LUT	Laura Station, Queensland, Australia
LUU	Laura, Queensland, Australia
LUV	Langgur/Tual, Indonesia
LUW	Luwuk, Indonesia
LUX	Luxembourg [Findel], Luxembourg
LVA	Laval, France
LVB	Santana do Livramento, RS, Brazil
LVD	Lime Village, AK [Lime Village Airport], USA
LVI	Livingstone (Maramba), Zambia
LVK	Livermore, CA [Livermore Municipal Airport], USA
LVL	Lawrenceville, VA [Lawrenceville/Brunswick Municipal Airport], USA
LVM	Livingston, MT [Mission Field], USA
LVO	Laverton, Western Australia, Australia
LVS	Las Vegas, NM [Las Vegas Municipal Airport], USA
LWB	Greenbrier (Lewisburg), WV [Greenbrier Valley Airport], USA
LWC	Lawrence, KS [Lawrence Municipal Airport], USA
LWE	Lewoleba, Indonesia
LWH	Lawn Hill, Queensland, Australia
LWI	Lowai, Papua New Guinea
LWK	Lerwick, Shetland Islands [Tingwall], United Kingdom
LWL	Wells, NV [Harriet Field], USA
LWM	Lawrence, MA [Lawrence Municipal Airport], USA
LWN	Gyumri (Leninakan), Armenia
LWO	Lviv (Lwow,Lvov), L'viv, Ukraine
LWR	Leeuwarden, Netherlands
LWS	Lewiston, ID [Lewiston-Nez Perce County Airport], USA
LWT	Lewistown, MT [Lewistown Municipal Airport], USA
LWV	Lawrenceville, IL [Lawrenceville-Vincennes International Airport], USA
LWY	Lawas, Sarawak, Malaysia
LXA	Lhasa, China
LXG	Luang Namtha, Laos
LXL	Little Falls, MN [Little Falls-Morrison County Airport], USA
LXN	Lexington, NE [Jim Kelly Field], USA
LXR	Luxor, Egypt
LXS	Lemnos (Limnos), Greece
LXU	Lukulu, Zambia
LXV	Leadville, CO [Lake County Airport], USA
LYA	Luoyang, China
LYB	Little Cayman, Little Cayman [Little Cayman Municipal Air Strip], Cayman Islands
LYC	Lycksele, Sweden
LYE	Lyneham, England [Lyneham RAF Station], United Kingdom
LYG	Lianyungang (Xinpu), China
LYH	Lynchburg, VA [Lynchburg Regional Airport/Preston Glenn Field], USA
LYK	Lunyuk, Indonesia
LYM	Ashford, United Kingdom
LYN	Lyon [Bron], France
LYO	Lyons, KS [Lyons-Rice County Municipal Airport], USA
LYP	Faisalabad, Pakistan
LYR	Svalbard [Longyearbyen], Norway
LYS	Lyon [Satolas], France
LYT	Lady Elliott Island, Australia
LYU	Ely, MN [Ely Municipal Airport], USA
LYX	Lydd, United Kingdom
LZA	Luiza, Zaire
LZC	Lazaro Cardenas, Mexico
LZH	Liuzhou, China
LZI	Luozi, Zaire
LZO	Luzhou, Sichuan, China
LZR	Lizard Island, Queensland, Australia
LZU	Lawrenceville, GA [Gwinnett County Airport-Briscoe Field], USA
MAA	Madras [Meenambakkam], India
MAB	Maraba, PA, Brazil
MAC	Macon, GA [Herbert Smart Downtown Airport], USA
MAD	Madrid [Barajas], Spain
MAE	Madera, CA [Madera Municipal Airport], USA
MAF	Midland/Odessa, TX [Midland International Airport], USA
MAG	Madang, Papua New Guinea
MAH	Mahon (Menorca), Balearic Islands, Spain
MAI	Mangochi, Malawi
MAJ	Majuro [Marshall Islands International Airport], Marshall Islands
MAK	Malakal, Sudan
MAL	Mangole, Indonesia
MAM	Matamoros, Mexico
MAN	Manchester, England [Ringway International Airport], United Kingdom
MAO	Manaus, AM [Eduardo Gomes], Brazil
MAP	Mamai, Papua New Guinea
MAQ	Mae Sot, Thailand
MAR	Maracaibo [La Chinita], Venezuela
MAS	Manus Island [Lorengau], Papua New Guinea
MAT	Matadi, Zaire
MAU	Maupiti, Society Islands, French Polynesia
MAV	Maloelap [Maloelap Airport], Marshall Islands
MAW	Malden, MO [Malden Municipal Airport], USA
MAX	Matam, Senegal
MAY	Mangrove Cay, Bahamas
MAZ	Mayaguez [Eugenio Maria de Hostos Airport], Puerto Rico
MBA	Mombasa [Moi International], Kenya
MBB	Marble Bar, Western Australia, Australia
MBC	Mbigou, Gabon
MBD	Mmabatho, Bophuthatswana [International], South Africa
MBE	Monbetsu, Japan
MBF	Mt. Buffalo, Australia
MBG	Mobridge, SD [Mobridge Municipal Airport], USA
MBH	Maryborough, Queensland, Australia
MBI	Mbeya, Tanzania
MBJ	Montego Bay [Sangster], Jamaica
MBK	Matupa, Brazil
MBL	Manistee, MI [Manistee County-Blacker Airport], USA
MBM	Mkambati, South Africa
MBN	Mount Barnett, Western Australia, Australia
MBO	Mamburao, Philippines
MBP	Moyobamba, Peru
MBQ	Mbarara, Uganda
MBR	Mbout, Mauritania
MBS	Saginaw, MI [Tri City International Airport], USA
MBT	Masbate, Philippines
MBU	Mbambanakira, Solomon Islands
MBV	Masa, Papua New Guinea
MBW	Moorabbin, Victoria [Moorabbin Airport], Australia
MBX	Maribor, Slovenia
MBY	Moberly, MO [Omar N. Bradley Airport], USA
MBZ	Maves, Brazil
MCA	Macenta, Guinea
MCB	McComb, MS [McComb/Pike County/John E. Lewis Field], USA
MCC	Sacramento, CA [Mc Clellan Air Force Base], USA
MCD	Mackinac Island, MI [Mackinac Island Airport], USA
MCE	Merced, CA [Merced Municipal Airport/Macready Field], USA
MCF	Tampa, FL [Mac Dill Air Force Base], USA
MCG	McGrath, AK [McGrath Airport], USA
MCH	Machala, Ecuador
MCI	Kansas City, MO [Kansas City International Airport], USA
MCJ	Maicao, Colombia
MCK	McCook, NE [McCook Municipal Airport], USA
MCL	McKinley Park, AK [McKinley National Park Airport], USA
MCM	Monte Carlo, Monaco
MCN	Macon, GA [Middle Georgia Regional Airport], USA
MCO	Orlando, FL [Orlando International Airport], USA
MCP	Macapa, PA, Brazil
MCQ	Miskolc, Hungary
MCR	Melchor de Mencos, Guatemala
MCS	Montes Caseros, Argentina
MCT	Muscat [Seeb], Oman
MCU	Montlucon, France
MCV	McArthur River, Northern Territory, Australia
MCW	Mason City, IA [Mason City Municipal Airport], USA
MCX	Makhachkala, Dagestan, Russia
MCY	Maroochydore (Sunshine Coast), Queensland, Australia
MCZ	Maceio, AL, Brazil
MDA	San Antonio, TX [Martindale Army Air Field (Texas Army National Guard Airport)], USA
MDB	Melinda, Belize
MDC	Manado [Sam Ratulangi], Indonesia
MDD	Midland, TX [Midland Airpark], USA
MDE	Medellin [Olaya Herrera], Colombia
MDF	Medford, WI [Taylor County Airport], USA
MDG	Mudanjiang, China
MDH	Carbondale/Murphysboro, IL [Southern Illinois Airport], USA
MDI	Makurdi, Nigeria
MDJ	Madras, OR [City-County Airport], USA
MDK	Mbandaka, Zaire
MDL	Mandalay, Myanmar
MDM	Munduku, Papua New Guinea
MDN	Madison, IN [Madison Municipal Airport], USA
MDO	Middleton Island, AK [Middleton Island Airport], USA
MDP	Mindiptana, Indonesia
MDQ	Mar del Plata, Argentina
MDR	Medfra, AK [Medfra Airport], USA
MDS	Middle Caicos, Turks & Caicos
MDT	Harrisburg (Middletown), PA [Harrisburg International Airport], USA
MDU	Mendi, Papua New Guinea
MDV	Medouneu, Gabon
MDW	Chicago, IL [Chicago Midway Airport], USA
MDX	Mercedes, Argentina
MDY	Midway Islands, Sand Island [Midway Naval Air Facility], Midway Islands
MDZ	Mendoza [El Plumerillo], Argentina
MEA	Macae, RJ, Brazil
MEB	Melbourne, Victoria [Essendon Airport], Australia
MEC	Manta [Eloy Alfaro], Ecuador
MED	Medina (Madinah), Saudi Arabia
MEE	Mare, Loyalty Islands, New Caledonia
MEF	Melfi, Chad
MEG	Malange (Malanje), Angola
MEH	Mehamn, Norway
MEI	Meridian, MS [Key Field], USA
MEJ	Meadville, PA [Port Meadville Airport], USA
MEK	Meknes, Morocco
MEL	Melbourne, Victoria [Tullamarine International Airport], Australia
MEM	Memphis, TN [Memphis International Airport], USA
MEN	Mende, France
MEO	Manteo, NC [Dare County Regional Airport], USA
MEP	Mersing, Malaysia
MEQ	Meulaboh, Indonesia
MER	Merced, CA [Castle Air Force Base], USA
MES	Medan [Polonia], Indonesia
MET	Moreton, Queensland, Australia
MEU	Monte Dourado, Brazil
MEV	Minden, NV [Douglas County Airport], USA
MEW	Mweka, Zaire
MEX	Ciudad de Mexico (Mexico City) [Aeropuerto Internacional Benito Juarez], Mexico
MEY	Meghauli, Nepal
MEZ	Messina, South Africa
MFA	Mafia Island, Tanzania
MFB	Monfort, Colombia
MFC	Mafeteng, South Africa
MFD	Mansfield, OH [Mansfield Lahm Municipal Airport], USA
MFE	McAllen, TX [McAllen Miller International Airport], USA
MFF	Moanda, Gabon
MFG	Muzaffarabad, Pakistan
MFI	Marshfield, WI [Marshfield Municipal Airport], USA
MFJ	Moala, Fiji
MFK	Mafeking, South Africa
MFL	Mt. Full Stop, Australia
MFN	Milford Sound, New Zealand
MFO	Ras Nasrani [Sharm El Sheikh], Egypt
MFP	Manners Creek, Northern Territory, Australia
MFQ	Maradi, Niger
MFR	Medford, OR [Medford-Jackson County Airport], USA
MFS	Miraflores, Colombia
MFU	Mfuwe, Zambia
MFV	Melfa, VA [Accomack County Airport], USA
MFW	Miami/Fort Lauderdale/West Palm Beach, FL [Metropolitan Area], USA
MFX	Meribel, France
MFY	Mayfaah, Yemen
MGA	Managua [Augusto Cesar Sandino], Nicaragua
MGB	Mount Gambier, South Australia, Australia
MGC	Michigan City, IN [Michigan City Airport], USA
MGD	Magdalena, Bolivia
MGE	Marietta, GA [Dobbins Air Reserve Base], USA
MGF	Maringa, PR, Brazil
MGG	Margarina, Papua New Guinea
MGH	Margate, South Africa
MGI	Matagorda, TX [Matagorda Peninsula Airport], USA
MGJ	Montgomery, NY [Orange County Airport], USA
MGL	Moenchengladbach (Monchengladbach), Germany
MGM	Montgomery, AL [Dannelly Field], USA
MGN	Maganque, Colombia
MGO	Manea, Gabon
MGP	Manga, Papua New Guinea
MGQ	Mogadishu (Mogadiscio) [Petrella], Somalia
MGR	Moultrie, GA [Moultrie Municipal Airport], USA
MGS	Mangaia, Cook Islands
MGT	Millingimbi, Northern Territory, Australia
MGU	Manaung, Burma
MGV	Margaret River, Western Australia, Australia
MGW	Morgantown, WV [Morgantown Municipal Airport-Walter L. Bill Hart Field], USA
MGX	Moabi, Gabon
MGY	Dayton, OH [Dayton General Airport South], USA
MGZ	Myeik (Mergui), Myanmar
MHA	Mahdia, Guyana
MHB	Auckland [Mechanics Bay Seaplane Base], New Zealand
MHD	Mashad, Iran
MHE	Mitchell, SD [Mitchell Municipal Airport], USA
MHF	Morichal, Colombia
MHG	Mannheim, Germany
MHH	Marsh Harbour, Abaco, Bahamas
MHI	Musha, Djibouti
MHK	Manhattan, KS [Manhattan Municipal Airport], USA
MHL	Marshall, MO [Marshall Memorial Municipal Airport], USA
MHM	Minchumina, AK [Minchumina Airport], USA
MHN	Mullen, NE [Hooker County Airport], USA
MHO	Mt. House, Western Australia, Australia
MHP	Metter, GA [Metter Municipal Airport], USA
MHQ	Mariehamn (Maarianhamina), Finland
MHR	Sacramento, CA [Mather Air Force Base], USA
MHS	Mount Shasta, CA, USA
MHT	Manchester, NH [Manchester Airport], USA
MHU	Mount Hotham, Victoria, Australia
MHV	Mojave, CA [Mojave Airport], USA
MHX	Manihiki Island, Cook Islands
MHY	Morehead, Papua New Guinea
MHZ	Mildenhall, United Kingdom
MIA	Miami, FL [Miami International Airport], USA
MIB	Minot, ND [Minot Air Force Base], USA
MIC	Minneapolis, MN [Crystal Airport], USA
MID	Merida [Lic. Manuel Crecencio Rejon], Mexico
MIE	Muncie, IN [Delaware County Airport-Johnson Field], USA
MIF	Monahans, TX [Roy Hurd Memorial Airport], USA
MIG	Muenchen (Munchen,Munich) [Neubieberg Air Base], Germany
MIH	Mitchell Plateau, Australia
MII	Marilia, SP, Brazil
MIJ	Mili Island [Mili Airport], Marshall Islands
MIK	Mikkeli, Finland
MIL	Milano (Milan) [Metropolitan Area], Italy
MIM	Merimbula, New South Wales, Australia
MIN	Minnipa, South Australia, Australia
MIO	Miami, OK [Miami Municipal Airport], USA
MIP	Mitspeh Ramona, Israel
MIQ	Omaha, NE [Millard Airport], USA
MIR	Monastir [Skanes], Tunisia
MIS	Misima, Papua New Guinea
MIT	Shafter, CA [Shafter Airport-Minter Field], USA
MIU	Maiduguri, Nigeria
MIV	Millville, NJ [Millville Municipal Airport], USA
MIW	Marshalltown, IA [Marshalltown Municipal Airport], USA
MIX	Miriti, Colombia
MIZ	Mainoru, Northern Territory, Australia
MJA	Manja, Madagascar
MJB	Mejit Island [Mejit Airport], Palau
MJC	Man, Ivory Coast
MJD	Moenjodaro (Mohenjo Daro), Pakistan
MJE	Majkin, Marshall Islands
MJF	Mosjoen, Norway
MJG	Mayajiqua, Cuba
MJH	Majma, Saudi Arabia
MJI	Maji, Ethiopia
MJJ	Moki, Papua New Guinea
MJK	Monkey Mia, Western Australia, Australia
MJL	Mouila, Gabon
MJM	Mbuji-Mayi, Zaire
MJN	Mahajanga (Majunga) [Amborovy], Madagascar
MJP	Manjimup, Western Australia, Australia
MJQ	Jackson, MN [Jackson Municipal Airport], USA
MJR	Miramar, Argentina
MJS	Maganja da Costa, Mozambique
MJT	Mytilene (Mitilini), Lesbos Island, Greece
MJU	Mamuju, Indonesia
MJV	Murcia [San Javier], Spain
MJY	Mangunjaya, Indonesia
MJZ	Mirnyy, Yakutia-Sakha, Russia
MKA	Marianske Lazne, Czech Republic
MKB	Mekambo, Gabon
MKC	Kansas City, MO [Kansas City Downtown Airport], USA
MKD	Metekel, Ethiopia
MKE	Milwaukee, WI [General Mitchell International Airport], USA
MKF	Columbus, GA [McKenna Army Air Field], USA
MKG	Muskegon, MI [Northside Airport], USA
MKH	Mokhotlong, Lesotho
MKI	Mboki, Central African Republic
MKJ	Makoua, Congo
MKK	Molokai/Hoolehua (Kaunakakai), HI [Molokai Airport], USA
MKL	Jackson, TN [McKellar-Sipes Regional Airport], USA
MKM	Mukah, Sarawak, Malaysia
MKN	Malekolon, Papua New Guinea
MKO	Muskogee, OK [Davis Field], USA
MKP	Makemo, French Polynesia
MKQ	Merauke [Mopah], Indonesia
MKR	Meekatharra, Western Australia, Australia
MKS	Mekane Salem, Ethiopia
MKT	Mankato, MN [Mankato Municipal Airport], USA
MKU	Makokou, Gabon
MKV	Mt. Cavenagh, Northern Territory, Australia
MKW	Manokwari, Indonesia
MKX	Mukalla, Yemen
MKY	Mackay, Queensland, Australia
MKZ	Malacca (Melaka) [Batu Ber], Malaysia
MLA	Malta [Luqa], Malta
MLB	Melbourne, FL [Melbourne International Airport], USA
MLC	McAlester, OK [McAlester Regional Airport], USA
MLD	Malad City, ID [Malad City Airport], USA
MLE	Male, Hulule, Maldives
MLF	Milford, UT [Milford Municipal Airport], USA
MLG	Malang, Indonesia
MLH	Mulhouse [Basel/Mulhouse EuroAirport], France
MLI	Moline, IL [Quad-City Airport], USA
MLJ	Milledgeville, GA [Baldwin County Airport], USA
MLK	Malta, MT [Malta Airport], USA
MLL	Marshall, AK [Marshall Airport], USA
MLM	Morelia, Mexico
MLN	Melilla, Spanish Morocco
MLO	Milos, Greece
MLP	Malabang, Philippines
MLQ	Malalaua, Papua New Guinea
MLR	Millicent, South Australia, Australia
MLS	Miles City, MT [Frank Wiley Field], USA
MLT	Millinocket, ME [Millinocket Municipal Airport], USA
MLU	Monroe, LA [Monroe Regional Airport], USA
MLV	Merluna, Queensland, Australia
MLW	Monrovia [Spriggs Payne], Liberia
MLX	Malatva, Turkey
MLY	Manley Hot Springs, AK [Manley Hot Springs Airport], USA
MLZ	Melo, Uruguay
MMA	Malmo, Sweden
MMB	Memanbetsu, Japan
MMC	Ciudad Mante, Mexico
MMD	Minami Daito Jima, Okinawa, Japan
MME	Tees Side, United Kingdom
MMF	Mamfe, Cameroon
MMG	Mount Magnet, Western Australia, Australia
MMH	Mammoth Lakes, CA [Mammoth Lakes Airport], USA
MMI	Athens, TN [McMinn County Airport], USA
MMJ	Matsumoto, Japan
MMK	Murmansk, Murmansk, Russia
MML	Marshall, MN [Marshall Municipal Airport-Ryan Field], USA
MMM	Middlemount, Queensland, Australia
MMN	Stow, MA [Minute Man Air Field], USA
MMO	Maio, Maio, Cape Verde
MMP	Mompus, Colombia
MMQ	M'Bala, Central African Republic
MMR	Austin, TX [Camp Maybry], USA
MMS	Marks, MS [Selfs Airport], USA
MMT	Columbia, SC [McEntire Air National Guard Base], USA
MMU	Morristown, NJ [Morristown Municipal Airport], USA
MMV	McMinnville, OR [McMinnville Municipal Airport], USA
MMW	Moma, Mozambique
MMX	Malmo [Sturup], Sweden
MMY	Miyako Jima, Ryuku, Japan
MMZ	Maimana, Afghanistan
MNA	Melangguane, Indonesia
MNB	Moanda, Zaire
MNC	Nacala, Mozambique
MND	Medina, CA, USA
MNE	Mungeranie, South Australia, Australia
MNF	Mana, Fiji
MNG	Maningrida, Northern Territory, Australia
MNH	Minneriya, Sri Lanka
MNI	Montserrat (Plymouth) [Blackburne], Montserrat
MNJ	Mananjary, Madagascar
MNK	Maiana, Kiribati
MNL	Manila [Ninoy Aquino International Airport], Philippines
MNM	Menominee, MI [Menominee-Marinette Twin County Airport], USA
MNN	Marion, OH [Marion Municipal Airport], USA
MNO	Manono, Zaire
MNP	Maron, Papua New Guinea
MNQ	Monto, Queensland, Australia
MNR	Mongu, Zambia
MNS	Mansa, Zambia
MNT	Minto, AK [Minto Airport], USA
MNU	Maulmyine (Moulmein), Myanmar
MNV	Mountain Valley, Australia
MNW	MacDonald Downs, Australia
MNX	Manicore, AM, Brazil
MNY	Mono, Solomon Islands
MNZ	Manassas, VA [Manassas Regional Airport/Harry P. Davis Field], USA
MOA	Moa, Cuba
MOB	Mobile, AL [Bates Field], USA
MOC	Montes Claros, MG, Brazil
MOD	Modesto, CA [Modesto City-County Airport-Harry Sham Field], USA
MOE	Momeik, Myanmar
MOF	Maumere, Indonesia
MOG	Monghsat, Myanmar
MOH	Mohanbari, India
MOI	Mitiaro, Cook Islands
MOL	Molde [Aro], Norway
MOM	Moudjeria, Mauritania
MON	Mount Cook, New Zealand
MOO	Moomba, Australia
MOP	Mount Pleasant, MI [Mount Pleasant Municipal Airport], USA
MOQ	Morondava, Madagascar
MOR	Morristown, TN [Moore-Murrell Airport], USA
MOS	Elim, AK [Moses Point Airport], USA
MOT	Minot, ND [Minot International Airport], USA
MOU	Mountain Village, AK [Mountain Village Airport], USA
MOV	Moranbah, Queensland, Australia
MOW	Moscow (Moskva), Moscow [Metropolitan Area], Russia
MOX	Morris, MN [Morris Municipal Airport], USA
MOY	Monterrey, Colombia
MOZ	Moorea, Society Islands, French Polynesia
MPA	Mpacha, Namibia
MPB	Miami, FL [Watson Island International Seaplane Base], USA
MPC	Muko Muko, Indonesia
MPD	Mirpur Khas, Pakistan
MPE	Madison, CT [Griswold Airport], USA
MPF	Mapoda, Papua New Guinea
MPG	Makini, Papua New Guinea
MPH	Malay, Philippines
MPI	Mamitupo, Panama
MPJ	Morrilton, AR [Petit Jean Park], USA
MPK	Mokpo, South Korea
MPL	Montpellier [Mediteranee/Frejorgues], France
MPM	Maputo, Mozambique
MPN	Mount Pleasant, Falkland Islands
MPO	Mount Pocono, PA [Pocono Mountains Municipal Airport], USA
MPP	Malatupo, Panama
MPQ	Maan, Jordan
MPR	McPherson, KS [McPherson Airport], USA
MPS	Mount Pleasant, TX [Mount Pleasant Municipal Airport], USA
MPT	Maliana, Indonesia
MPU	Mapua, Papua New Guinea
MPV	Barre/Montpelier, VT [Edward F. Knapp State Airport], USA
MPW	Mariupol (Zhdanov), Donets'k, Ukraine
MPX	Miyanmin, Papua New Guinea
MPY	Maripasoula, Suriname
MPZ	Mount Pleasant, IA [Mount Pleasant Municipal Airport], USA
MQA	Mandora, Western Australia, Australia
MQB	Macomb, IL [Macomb Municipal Airport], USA
MQC	Miquelon, St. Pierre & Miquelon
MQD	Maquinchao, Argentina
MQE	Marqua, Northern Territory, Australia
MQF	Magnitogorsk, Chelyabinsk, Russia
MQH	Minacu, Brazil
MQI	Quincy, MA [Heliport], USA
MQJ	Indianapolis, IN [Mount Comfort Airport], USA
MQL	Mildura, Victoria, Australia
MQN	Mo i Rana [Rossvoll], Norway
MQQ	Moundou, Chad
MQR	Mosquera, Colombia
MQS	Mustique Island, St. Vincent and the Grenadines
MQT	Marquette, MI [Marquette County Airport], USA
MQU	Mariquita, Colombia
MQV	Maiquetia [Aeropuerto Internacional Simon Bolivar], Venezuela
MQW	McRae, GA [Telfair-Wheeler Airport], USA
MQX	Makale, Ethiopia
MQY	Smyrna, TN [Smyrna Airport], USA
MRA	Misurata, Libya
MRB	Martinsburg, WV [Eastern West Virginia Regional Airport/Shepherd Field], USA
MRC	Columbia/Mount Pleasant, TN [Maury County Airport], USA
MRD	Merida, Venezuela
MRE	Mara Lodges, Kenya
MRF	Marfa, TX [Marfa Municipal Airport], USA
MRG	Mareeba, Queensland, Australia
MRH	May River, Papua New Guinea
MRI	Anchorage, AK [Merrill Field], USA
MRJ	Marcala, Honduras
MRK	Marco Island, FL [Marco Island Airport], USA
MRL	Miners Lake, Australia
MRM	Manare, Papua New Guinea
MRN	Morganton, NC [Morganton-Lenoir Airport], USA
MRO	Masterton, New Zealand
MRP	Marla, South Australia, Australia
MRQ	Marinduque, Philippines
MRR	Macara [J. M. Velasco Ibarra], Ecuador
MRS	Marseille [Marignane-Provence], France
MRT	Mordak, Australia
MRU	Mauritius [Sir Seewoosagur Ramgoolam], Mauritius
MRV	Mineralniye Vody, Stavropol, Russia
MRW	Morioka, Japan
MRX	Margarita Island, Venezuela
MRY	Monterey, CA [Monterey Peninsula Airport], USA
MRZ	Moree, New South Wales, Australia
MSA	Muskrat Dam, ON [Muskrat Dam Airport], Canada
MSB	St. Maarten (Marigot), Netherlands Antilles
MSC	Mesa, AZ [Falcon Field], USA
MSD	Mount Pleasant, UT [Mount Pleasant Airport], USA
MSE	Manston, England [Kent International Airport], United Kingdom
MSF	Mt. Swan, Northern Territory, Australia
MSG	Matsaile, Lesotho
MSH	Masirah, Oman
MSI	Masalembo, Indonesia
MSJ	Misawa, Japan
MSK	Mastic Point, Bahamas
MSL	Muscle Shoals, AL [Muscle Shoals Regional Airport], USA
MSM	Masi Manimba, Zaire
MSN	Madison, WI [Dane County Regional Airport-Truax Field], USA
MSO	Missoula, MT [Missoula International Airport], USA
MSP	Minneapolis/St. Paul, MN [Minneapolis-St. Paul International (Wold-Chamberlain) Airport], USA
MSQ	Minsk, Minsk [Loshitsa], Belarus
MSR	Muenster (Munster) [Greven], Germany
MSS	Massena, NY [Massena International Airport-Richards Field], USA
MST	Maastricht [Zuid-Limburg], Netherlands
MSU	Maseru [Moshoeshoe I International], Lesotho
MSV	Monticello, NY [Sullivan County International Airport], USA
MSW	Massawa, Eritrea
MSX	Massendjo, Congo
MSY	New Orleans, LA [New Orleans International Airport (Moisant Field)], USA
MSZ	Namibe [Mocamedes New Airport], Angola
MTA	Matamata, New Zealand
MTB	Monte Libano, Colombia
MTC	Mount Clemens, MI [Selfridge Air National Guard Base], USA
MTD	Mt. Sanford, Northern Territory, Australia
MTE	Monte Alegre, PA, Brazil
MTF	Mizan Teferi, Ethiopia
MTG	Mato Grosso, MG, Brazil
MTH	Marathon, FL [Marathon Airport], USA
MTI	Mosteiros, Cape Verde
MTJ	Montrose, CO [Montrose Regional Airport], USA
MTK	Makin, Kiribati
MTL	Maitland, New South Wales, Australia
MTM	Metlakatla, AK [Metlakatla Airport], USA
MTN	Baltimore, MD [Martin State Airport], USA
MTO	Mattoon/Charleston, IL [Coles County Memorial Airport], USA
MTP	Montauk, NY [Montauk Airport], USA
MTQ	Mitchell, Queensland, Australia
MTR	Monteria, Colombia
MTS	Manzini [Matasapha], Swaziland
MTT	Minatitlan, Mexico
MTU	Montepuez, Mozambique
MTV	Mota Lava, Vanuatu
MTW	Manitowoc, WI [Manitowoc County Airport], USA
MTX	Fairbanks, AK [Metro Field], USA
MTY	Monterrey [Aeropuerto General Mariano Escobedo], Mexico
MTZ	Masada, Israel
MUA	Munda, New Georgia Is., Solomon Islands
MUB	Maun, Botswana
